Index,A,Label
9717,@lorib709 sorry you aren't feeling well!,12
9718,just got home from a long day at asda. joy,5
9719,"Its raining on Staunton again, We need the rain, but that just means Ive got nothing sitting outside for people to see,",12
9720,bout tuh head out an find sum wher tuh go an chill,8
9721,i wish i were hanging out with kobe right now,10
9722,"Math was not fun at all. Oh well, i get to cook as soon as i get home.",9
9723,"Guess I'm gonna try the nap thing again 2day, but since my kids haven't cooperated with it yet this week I'm sure 2day won't be different",10
9724,Poor baby's got his first booboo  that he caused himself LOL  http://twitpic.com/673vt,5
9725,pulled from interesting meeting to an urgent support request,11
9726,i neeeeeeeed music suggestions but no one will give them,10
9727,Knight Online Come Back,4
9728,"@SallyTraffic ermm, me me me!!",5
9729,Just lost respect to someone.,10
9730,"@autonomy14 Ah, sorry to hear your trip was canceled",12
9731,Sims 3 wouldn't work on my old macbook  hope to get Sims 2 by tomorrow.,10
9732,@nikkilynnsd aw i wish i could.  i have to get ready for atlanta and i have to come into work since I am behind on work,10
9733,"MIT bookstore has best book selection, but it's the one bookstore I have no coupons or discounts for",10
9734,I cant follow any1  on FollowFriday LOL u guys follow @SteveRaze @djpooh @losdigital @djsmartiez @djeightmile @maestro @rollingout @djlgee,8
9735,about to start getting ready for work.  took lexi out to the park earlier! wish i could lay around ALL day.,10
9736,Im downloading manually the oooiifull.mp4 movie by @leebrimelow as it seems the only way to see it fully,12
9737,@WerewolfSeth YES!!,5
9738,Prayers for my family and my dog - Mozart is being put down this afternoon.   Pics of him at http://tinyurl.com/mozartdog,8
9739,@EuanGriffin Why?,8
9740,@lyricals don't care about my struggles..,10
9741,Still can't sleep..missin' my dobby...,12
9742,HD full again...  http://plurk.com/p/x2eb3,11
9743,"For some dumb reason my dresser is sticky on top. And for another reason, a family history book got attached to it  Now the back is jacked",6
9744,I'm still thinking ... Idk,8
9745,@michy_mar_mey I want cake  is it chocolate!??,8
9746,@proactiff WHO IS SAYING ALL THIS...are you ignoring me *frowns*,8
9747,@cailingg me too  what are you doing?,8
9748,i miss my boo  on another note im soready for this game to come on tonight...fox grill anyone???!!,10
9749,"iLook struggles to make Outlook more social http://bit.ly/JjUdF looks interesting, no Twitter support?",12
9750,@sunilsebastian I still have a lot of time on my stupid contract...  18 months before I can change providers,10
9751,@kassielovee belly ache...lulz....I'm sorry though  ....ginger ale!,8
9752,@gcrecords yes,1
9753,would like to go back to bed. horrible headache pounding behind my eyes and all over my skull,12
9754,"@heloloser thanks clair, I haven't watched it yet.",5
9755,Should have left car and walked home! I might need someone to rescue me with petrol! Light flashing,12
9756,@3CB goodnight hun. Yaani nakam wakati unaenda  @soleaddict1 hai,12
9757,@carbyville - Ya but they have to speak to you first to reply to them..,8
9758,but mum just burned some bacon... smoke alarm's a bitch,12
9759,I know I shouldn't be saying this but fuck it..I'm horny as hell,5
9760,"@GirlUSoCrazy lol girl I cannot stop!!! I am a student, I can't afford $14 a pop eyeshadows. But I am so hooked",5
9761,at least 3 more days,10
9762,I just filled out the forms to stop contributing to the retirement account i had set up with my employer  I have to pay off my credit card,8
9763,@SavageMike :: I know the feeling  Its a little depressing :S,12
9764,@berrylies I am so sorry.,12
9765,@zinzR0ux whatz that supposed to mean  i have a dog now  waaaaaaaaaah lol jk,4
9766,I feel like crying! One of my diamond earrings fell out my ear bc it was loose and I can't find it. I've had them forever,12
9767,TGIF!!! But also sad that this is last day I get to work with my favorite TV reporter,10
9768,@sgBEAT:kwanghock @Valkyrieslife @kahhongtay @jeremy89632 it is the Hao Da Za Ji Pa?? I miss the food there so much??,8
9769,@YasmineGalenorn depressed that both of those are already out but yours isnt. I want your book!!,10
9770,feel. sick. too. much. cheese. on. toast.,12
9771,No 10th  2 months=],5
9772,"@simplysinister that sucks  I seriously hope you feel better soon, you need to come over next week!!!",10
9773,"it's been so nice all day, and now it looks like it's going to rain...just when i was getting excited about taking photos when i get home",5
9774,@AYoungOne Yep that one works. I LOVE Potbelly but I can't get it in AZ  Have to wait for my Chi-town trips @PotbellySdchWks,7
9775,@iamdiddy me.  confused about a guy...he's great but why am I pushing him away?,12
9776,"@fountain1987 Ooh!Wish i was there.Just watched Hollyoaks on E4.So sad,please dont leave chris!",12
9777,@billbathgate hotttie poooh!!!! ooo i bet it sounda magical (HH) im coming home in 1 hour,4
9778,OH NO! MY FAN BROKE  NOOOOOOOOOOOO! great now i have to swelter in the heat. i like heat-ish but it hot! my laptop warm as well.,12
9779,@DopeAlicious I'm sorry,7
9780,@kyle_newman i just called and it's sold out.  bummer. next time!,10
9781,This is sad,12
9782,"Just got done discing, found two discs in the last two days. Solid.  Wish @pacheros would treat my koozie better and not throw it around",12
9783,eating my roommate's cereal. sorry bro,8
9784,Im wishing that i had the weekend off so i can go to SOL.,10
9785,"Just tried an energy drink to report back for you guys, and im sweating and have the worst cramps. I want to lie down",12
9786,"@danosphere It's a beautiful MN day, but I'm stuck inside playing Zelda.  I've gotta play at least 10 hrs. today.",5
9787,@michemo Bristol's is the ish! I LOVE their brunch on Sundays. Ruth Chris is good too but I got sick there once.,7
9788,@oneofthosefaces i know im inlove with  @katyperry actually..,7
9789,@thriftymommy well my daughter is 20 now...thats why I said 'I miss those days'...they go by sooo fast,10
9790,spending most of the weekend working.. that doesn't even sound fun,10
9791,"Testing out Hulu desktop. Reminds me of a shittier version of boxy. Feels clunky, search is too hidden, the menu system is questionable.",12
9792,@BiffBarker Ohhhhh how I miss the Brunch,10
9793,Oh my god. I literally drove in rain that was so hard that i couldn't see in front of me. I'm shaking,12
9794,"Oops, forgot we are having a barbecue at work today! I didn't need to pack a lunch after all",10
9795,"at the house home alone   , playing guitar some guitar hero loud.",7
9796,@stevico1 Its so nice i ahd to work today,9
9797,@solangeknowles girl you know beauty has a price,8
9798,"@CourtJsallis  lolll, i cba to get the sun stuff and i forgot that the back of my leg wouldnt gwt tanned lol. it hurts sooo bad right now",6
9799,"@ginamc she's been watching the cartoon clone wars, and she's totally into the force.  Shannon won't let her see the live ones yet tho",8
9800,@yayamartinez dude i am so sorry!!!!! I never got that number for you my fail  i just remembered,12
9801,"@agcruc Girl, if you were part of the tour, I would seriously be the first in line for tickets.  Just sayin'.",5
9802,I am so jelz. I want a house. &gt;,10
9803,@Em_Fizz he's really not into new people  I dunno em but he said he'd try,8
9804,watching The Uninvited in my room. Can't wait to go home. But I have to go to the Deid first.,12
9805,Off to NC tonight until June 7th! I'm going to miss NYC   Getting ready for my 21st birthday Luau BBQ on JULY 11TH!!!!!!!!,3
9806,@totalblonde70 ohh i would def give it 2 u but tht was kenyatta's cam not mine  sry but i want tht pic 2,11
9807,and wtf at little 9 year old wanna be thugs? ugh why can't everyone just be friends and not in cliques like back in the old days,10
9808,"@nkotblorib Thanks girl!!!!! Like I said, I'm willing to take a loss on them...just don't want to see them wasted",9
9809,this is a horrible day.,10
9810,Tiggerk is still having upset tummy issues  http://apps.facebook.com/dogbook/profile/view/6823131,12
9811,@BeateVeronica I'm jealous - I would love deer steak. One of the downsides of having an almost vegetarian and a carnivore living together,10
9812,"@janelleyo Wish we could deliver alcohol, but state law prohibits us.",8
9813,@spaley sadly that is so true,12
9814,Checking out zensify on my iphone. works fine but no landscape typing,10
9815,@bryceavary So no video blogs anymore?,11
9816,http://twitpic.com/670pn - she is so cute really i really want to meet her  wish one day,7
9817,"@BonesCrazy24 I'm tired, hungry and bored of revision! Sorry to hear about dinner",12
9818,"AK, flop comes 2K6 I bet 15 get raised to 25 I call, turn is A, we check, river rag, then I check and he bets 15, I raise 15 he calls, 22",8
9819,okay... I can't twitter anymore.. I have to study..  ugh I HATE SCHOOL.. jk. but I thoroughly dislike it...,6
9820,Stupid net  we think mum broke it. Again.,10
9821,time to mow the lawn.,9
9822,Rainy day is rainy.,8
9823,"@exoticaleila lmao yea, I saw him on atlpics, yea I try to act like I'm still in atl  lol",11
9824,No shoes for me.,10
9825,is up at the hub for day parade again (of course) and they just cancelled the castle show mid-show,10
9826,installed the new modem which is meant to run 5 times faster than the old one and its slower  what the hell? gah slow internet kills me,10
9827,I will never eat broadway pizza again.. feelin ill.,12
9828,"@420thoughts I can understand, pains been part of my life for a long time now  I hope you feel a bit better soon.",12
9829,No pool today.   Stupid weather.,10
9830,Roscoe - Smooth Sailin' WHY DID NO ONE TELL ME ABOUT THIS SONG?????? RAP FRIENDS U HAVE FAILED ME,10
9831,I just love when all my little brothers friends come over,4
9832,@justababy I make that same face when I get home and your mom is watching soaps.,11
9833,Where's my bus? I want to go home!,12
9834,I don't think the neti pot is working for me  maybe I'm doing it wrong?,12
9835,Cant believe there had been nice weather all day and I was stuck in doors all day,11
9836,@johndpoole Not here in Stamford.,1
9837,my special edition JFPL came today! all i have time to do is rip the demo cd to itunes and upload to my ipod before i go to work,5
9838,"@MAMAHINAi was on the list, i paid 5 to get in, but if your under 21,you cant go in and out, but it was gettin so hot, so we went outside",10
9839,My new landlord just called.. I cant move in until tomorrow morning  Way to rain on my parade..,12
9840,is really stressing out,12
9841,i love my new phone but hate that i didnt get my netbook today...,7
9842,"Wow, my bed is SO comfy &amp; my nap has been much too short. Getting up for work = do not want.",10
9843,@joelogic Wish I could be there too!  Enjoy your weekend! xxx,5
9844,"@BretWolfe its a travesty, no? and, the people who are doing this said they'd THINK about involving joss whedon!!!!",6
9845,"@HarleyRodrigue hey Harley, I hope you stay around and not let the haters get the best of you!  people suck!",9
9846,Packing is no fun at all  good thing I have the new united on to keep me going... But still no fun,12
9847,"Playing with the munchkin today, talking cakes and getting ready for a yard sale tomorrow. Not looking forward to that",5
9848,I have not recieved any mail in over a month  life is boring,10
9849,@deathwishinc of course its not coming to boise,8
9850,ughh on the phone with HP!,6
9851,Where's my Happiness?,10
9852,"Was a little slow to try this one, but Ben &amp; Jerry's Mission to Marzipan is a bit of a letdown.",10
9853,Just got my rejection email from Jeffco schools.  fingers crossed for Boulder Valley...,12
9854,"@combustiblesong lol i don't get enough cause my dad won't let me, he keeps waking me up",4
9855,@divarina21 did she tell you why she hasnt? i miss my boge.,8
9856,"@DevonStebnicki wow, that sounds way more stressful than my job  thought about continuing edu and making a move?",8
9857,@pixy88 Thank you! And I don't care for the look on his face.,7
9858,Ow... My shoulder muscle (I can't remember the name :p) hurts... What did I do?  I don't even know,12
9859,@DoTPeRioD that sucks,8
9860,Why am I so tired?????? Whyyyyy make it stop. Merm is not going to be fun tonight.,12
9861,"@jen_juneau I did, until my parents got all f'd up and I started comfort-eating",12
9862,@stevehills dad's been having fever since last nite and needs 2 bottles of blood trasfusion..loaded 1 today..1 to go tomorrow.,12
9863,doesn't know what to do this evening &amp; is D R E A D I N G work tomorrow  it sucks.,12
9864,Not feeling well. Food poisoning.......,10
9865,"@justinchon great. so you're saying *I'm* old, being 28 and all??",12
9866,@livefashion lol... not gross at all  they're gross?,12
9867,little miss ugly,8
9868,Heading south on I-95.  Jacked mess around SR 234,11
9869,My work buddy left early today so now im all lonely.  keep lookin at the time and its barely only a min later than last time,12
9870,Allies not coming over,9
9871,@jzwack took my forum access away   fail.,8
9872,"this laptop is going to die, its not working!",12
9873,@BSBTwitt U SO funny but u right! I like BSB but Im not as fan than U I love much better Tupac &amp; TLC..2 bad they're not singing anymore,4
9874,Powerdvd doesn't want to play my Pushing Daisies dvd. I only want screenies to make icons with! Copy protection gone bonkers?,10
9875,"Its raining on Staunton again, We need the rain, but that just means Ive got nothing sitting outside for people to see,",11
9876,@JoeysMissMac Blah! Got a shot at the hospital   Taking gravol and moving very slow.,8
9877,"My guitar ain't herew yet?, feel like i lost a limb!.",11
9878,at home sick,10
9879,"My guitar ain't here yet?, feel like i lost a limb!.",12
9880,@Cracklin_Rosie  it was my name until yesterday,12
9881,Friday night and still working...oh wait..it's Saturday morning already,6
9882,@stefathena maybe i'll go one day and thanks i'm all swined out,8
9883,planning how to move back home...the regression process is in motion,8
9884,@IJsthee Or your mobile doesn't like me,7
9885,Omg i'm so sad. I jus took in that gossip girl is done,12
9886,Man waking up sucks when u have to go to work like 30 min later,12
9887,My hair looks sooo short,12
9888,"Oh, today my friend goes to USA! , Iï¿½m going to miss her so much!  , have a great time darling",12
9889,@so_precious06 sooo mad,8
9890,I miss you,10
9891,Anyone having twitter issues? It's eating my tweets.,1
9892,"I can't wait to start my weekend. I'm so sick of working, I have to self-medicate, and I'm fresh out of herb",3
9893,Now @mumbly_joe is trying to guilt me into coming to Alumni Weekend. I don't think I can make that either this year. I suck a lot.,10
9894,So full from a great lunch and now stuck in traffic,8
9895,SICK again,10
9896,I'm so sleep deprived but it's to hot to sleep.,10
9897,"@MrExclusive1 I'm jealous...i need 2 escape 2, lol.",3
9898,"http://bit.ly/253ce  :: I got bit in the face by a doberman when I was four years old, I just wanted a kiss   My neighbor had about 13 ...",10
9899,@amybarton Hope your son is okay!,12
9900,@wenatcheewash I am lost. Please help me find a good home.,12
9901,@myuze_me Why so blah?,12
9902,Waitin for the man to get home so he can take me out !!!! been waitin 4 hours,1
9903,@apollo18 Dang! Dogs are only for central and northern CA,8
9904,on my way to my dad's with my sistas..  r.i.p. Deb..,10
9905,"I hate taking antibiotics, but i think i need to get me some. boooooo.",12
9906,@OMS_AOP It has moved away from my house and must have found its way to yours,8
9907,@raenewman you called me? didn't get that.  nest time for sure. maybe i'll come to LA soon. i hella wana go to Disneyland.,5
9908,"my laptop broke, who wants to help a girl out and take me to best buy this weekend. please ill feed u.",12
9909,"@NathanFillion hey, what about us followers in ATL!!!!",12
9910,"@crystal_haze aww I^m sorry that Ray Wise has appeared on the show yet   , I watch @AOTS everyday except for Friday its a best of AOTS.",12
9911,@Exprincess http://twitpic.com/67318 - *sniff* i feel so left out!   *grin*,10
9912,At home sick.. On a friday...studying is all im doing at this point.. My weekend is so ruined,10
9913,"Whatever happened to those chocolate cigarettes replete with rice paper, 'filter' and fag packet... I miss 'em.",12
9914,the suns gone  hopefully nice weather tommorrow. ALL THE WORK IS SO DEPRESSING! :'(,12
9915,@mileycyrus voting is over. since like four days ago i think  i told all my friends 2 vote for you a million times. you will win! love you,8
9916,@starstruckfeie  i have no one to watch it with! ma peeps  are actually focused on their finals already!,1
9917,@cathrynmarie i miss jack n box  and whataburger  and oooo taco cabanaaaaaa  lmao,12
9918,"Only things left to do are to sweep and mop, load up the van, and go out and have fun tonight.",4
9919,"@jules23 I know...I would too. Yes i cant wait for BB, i love it! I heard theyre not showing the 24 hr live streaming this year though",5
9920,@nmarshall23,8
9921,Had to eat my sandwhich since guys were in a meeting. No sushi to brag about.,10
9922,@SKYISLANDS that's just it... I don't have anything other than work,8
9923,A Banana and 2 cups of Coffee...Not a so Healthy Breakfast!,12
9924,"@mileycyrus aww if I could, I would...  GBY ;)",9
9925,@hobgoods- yeah i went to satellite beach today and it was flattt  it was good for skimming though.,5
9926,Facebook Farm town become slower and slower,10
9927,Life Just Isn't Fair &gt; And I Feel,12
9928,This will be the worst day ever....graduation,12
9929,"@bhamboxset I saw them at a show a few weeks ago.  Hate to say I was not all that impressed    fun. and AS were good, though.",8
9930,My new camera... http://tinyurl.com/l8pde3 ... RIP my hot pink Polaroid i733,8
9931,@notdiyheather although I know he would never be okay with a homebirth. Moot point since we're done w/ babies,1
9932,@vessel2219 of course,9
9933,Not good news  Time for an incredibly hard decision.,10
9934,@meg_la_mania i have no mask to  whoooops,8
9935,The last day of the last time I visit my parents as an unmarried woman  (85/21589) ( http://bit.ly/Mo0QN  ),5
9936,"Started the week with a wedding, now ending the week with a funeral",8
9937,@Bizfizz Does it start tomorrow?  I was going to book Sam on that and forgot,8
9938,I want him to call,12
9939,Today more sore than surgery day. Glad I took extra sick day.  Full recovery expected after 6 weeks.  Calling lawn service firms today,10
9940,Math class ugh.  Rather be a class act.  Damn quiz   gotta act fast,12
9941,@mytvnetwork pansy  wtf codeh?!,11
9942,"I did the dishes and I'm now on a train to Newcastle. Have to leave #nontweetinggirlfriend behind for 2 weeks, which is always a bit sad",10
9943,@sianhughes_ i kinda hope she died in the fire cause i didnt like her but there was no sign of a body,8
9944,getting impatient with the turnaround time on repairs to my (broken on arrival) new espresso machine  #fb,12
9945,sneezing frequently,8
9946,I might get kicked out of school. Thing is they don't know that most of us need a job to live in this city.,12
9947,WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,12
9948,@rosiemini you got sonic without me?,11
9949,@PattyHankins Awe - didn't know cats got skin cancer,12
9950,Wow we're going to war with Korea? There goes my chances of ever being a grandma,12
9951,Wish my U2 beta key worked now. Don't want to wait 'till Wednesday to play,11
9952,still aint get my vanilla frosty yet.,12
9953,ninja sushi for lunch but dominicks was out of sour gummy worms,8
9954,bored  and sleepy and listening to music :p doing project :S,8
9955,I'm finished 3rd year. Moving onto 4th year on Monday. It's soooo scary. This time next year I will be finished my standard grade exams,12
9956,@MILEYCYRUS  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,3
9957,"I wonder if she knows how shallow, airy &amp; dumb her tweets make her sound. I guess not b/c if she did...she'd probably stop",12
9958,@arsc mega burguer was my lunch yesterday,8
9959,"ohhhh, how sad...I didnï¿½t get it!",10
9960,@joeymcintyre  My sister and I are suppose to be meeting you today in Birmingham.    Please reschedule!!!,12
9961,Borrowing my Mom's Lenovo laptop The trackpad and the battery life suck balls for quarters. Seriously missing my MacBook Pro,6
9962,"@cultofdusty thats what i love about you, you are as SHAMELESS as i am lol and no  not yet..but it aint over yet either lol #frehleyfriday",7
9963,Dj Hero coming soon who's getting it? Seems like ima have to retire my Guitar Hero,8
9964,@XJakeXChaosX bored,1
9965,"i want to go to bocum tottal to see lostalone, but have no passport  dam you poorness",12
9966,I really want a milkshake. I have no money.,12
9967,"ate like tons of chocolate today...  3 weeks of eating healthy, all gone with one day of unlimited eating! LOL",12
9968,wants to go out tonight but cant get home,10
9969,Wonders if I'm d only 1 dat n church sumtime nt knowng certain sungs. Seems like erbdy knows it but u? Quickly feel bad cnt sing along .,12
9970,@Dayna_aka_Rowan he could be talking to me  (he's probably not though ;) ),10
9971,"@karlismiles indeed, much fail",12
9972,At minibar... listening to politics  maybe some tech starups soon?,8
9973,Wants to meet Jeff Hardy and Beth Britt So bad its Soo Annoying  x x,3
9974,"So there aren't anymore exams, but there is only 3 days left. I've just now relized this is a bad thing.  And a good thing. I dont know.",12
9975,#Java is not working - hmph!  Can't upload photos to #Facebook.,12
9976,URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I'd removed space which messed up URL.  ^ES,8
9977,"Visiting the grandparents in Manhattan, and dropping off my sister for the week! I wish I had an excuse to be so tired today..",4
9978,@grahamcoltonfan hahah me too!! Except for when Haley gets hit by a car  but yay Leyton!,10
9979,"yeah, I was wasting my time  fail",12
9980,@3Alexx It is AMAZING!!!  Its gonna get scratched sooo much though  Lol. I have 4 movies and 30 TV Shows on it already!!,8
9981,So tired &amp; ready for bed!! Really in the mood for salt &amp; pepper chicken wings &amp; noodles but have no money on me for a Chinese!,8
9982,@adonkim Sounds like a nice relaxing afternoon. I have to mow the lawn and walk the dog,5
9983,working on homework!!!,8
9984,"Going back to my house to pick up some dvds for bapang and pick dito's up but forgot to pick up other dvds for dito, so I have to go back",8
9985,It's Going To Be A Busy Day  And That Sucks Cause I Wanted To Spend Time With Someone Earlier Today,10
9986,"@shakamaiden DAMN dude... dia 06, 20 e 27 eu tenho curso na DRC  flash expert...",8
9987,The only thing I hate about Playoff Pens hockey is how much the tickets are! I wanted to go to a game but there 300$ a ticket,6
9988,Oh great Tampa people - anybody in the area know someone who works for the Jain Society of Tampa Bay? None of their phone #'s work.,11
9989,@mileycyrus I VOTED!!! do u have a personal myspace? i keep talking to fakes   i &lt;3 you. u helped me thru the hrdest time of my life! (: x,12
9990,proper cba with out!,12
9991,@cowmage  read something happy?,8
9992,alicias tonight? idkkkk. ughhh,8
9993,http://twitpic.com/674p1 - @JTHawthorne this is my Ohio is for lovers tattoo got the design off the shirt.. haha but I lost the shirt,10
9994,In Drivers Ed  then dance.,8
9995,is sadly sitting at home when she could be going to a partyyyyy,10
9996,@ArlenesUniverse I have tried. He doesn't want to listen. I don't know what to do anymore. I just feel like HE doesn't care anymore,12
9997,@KourtneyKardash lucky bitch! haha we have COLDDD rain up here in MA  i would give anything for hot rain right now!,8
9998,#twitterfails fucking hard right now...this is annoying,0
9999,Wishing I could kidnap @candrews from work,6
10000,@Crazy_Cindy  BIG HUGGS,7
10001,"ahhhh, very sad",12
10002,Migraining today--the naproxen sodium tablets I took are helping a little but my neck is now killing me.  Need my muscle relaxants,12
10003,@grrachel  that made me sad..,10
10004,"Yep, one of those nights again.",1
10005,i looking at failure,12
10006,"@irishgirl Right; however, you neglect to mention that younger women are &quot;gold diggers&quot; or &quot;trophies.&quot; Isn't patriarchy grand?",11
10007,@danielgrosvenor #Java is not working - hmph!  Can't upload photos to #Facebook.,12
10008,"Waaah, asshat at CVS yesterday shortchanged me  I paid 10$ for chips.",8
10009,my finger hurts cause its infected!,12
10010,last time washing my hair,8
10011,I need hugs from Joe Jonas,10
10012,@CenturyMontes why you stop following me? Was I not cool enough for you?,12
10013,@FTSKirstin its taking forever to upload,8
10014,@cazob  okay i need to find another way then lolz,12
10015,@Elleipein aww honey I'm sorry,10
10016,@ClintonSparks I told u I tried but 88 said it was 2 late  cause the girl I was with took 4ever 2 get ready. they wanted to meet up by 11.,10
10017,"damn fight night 4 demo won't load, keeps crashing at the first screen. time to delete and re download i think",6
10018,Wishing I made enough money to do whatever I want! Sux... No money in education,12
10019,@KourtneyKardash i hate this weather! When u have lived here ure whole life u get used to it...may is always rainy  @RobKardashian,6
10020,"@babblingbrookie Try being in AZ again brooke, Omg you cant even be outside for less than a minute before getting your neck burned.",12
10021,@princesspooh90 Yeah but it doesn't sound indie enough  i need2learn some other tunes and then pick up mo style =] 1hour! I'll c u then ;),4
10022,I'm no longer a sophomore.  Junior year is bringing new things. I'll be on 24/7 now. Hit me up and check out  http://bit.ly/esGIQ,9
10023,@Broccolope sorry about calling you in really late,12
10024,@KourtneyKardash noo  I'm in miami and I just wanna lay out in the sun..but the rain has stopped me,12
10025,hates the sound of silence..doesnt like being shut out..,10
10026,Got up early did a shit ton now im headed to cherokee park to run  and walk !,10
10027,My arms are making me want to cry... and also because those shots made me sick,10
10028,I have MAJOR CRAMPLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,8
10029,@ jimithy1: can't come  msbj&lt;3,10
10030,@LLCee I had to find out via twitter,12
10031,"@thatchmaster i miss that place, but miss wegmans even more. whole foods != wegmans",10
10032,how do I vote for Mr twitter universe??? I'm a bit stuck,12
10033,@lozzy hahah I wish that was true. This is really really bad  just gonna stay home and chill tonight. And as usual I REALLY wanted to go.,6
10034,is mad that its raining,12
10035,"@Jamjar84 i got 2 much 2 do 2nite 2b bored. In bath still hav wash, dry, straight hair, get clothes ready etc",8
10036,boo gf can't go now  I passed my guard training lol,8
10037,@mileycyrus tell me where to vote and I will do so!!!! cause I'm from Germany I don't now where to do it..  btw: I love you and your music,7
10038,Had lunch at a Japanese sushi restaurant &amp; I ordered in Japanese as I usually do in sushi places. Cambodian waitress didn't have a clue,8
10039,@tapulous You always catch me away from my computer.  ?,8
10040,Ug. Full of cold and in a dark pub. Want to go outside,8
10041,@BossTutie I said hi to u,8
10042,"@Drob114 thanks for rubbing it in, jerk  where are you guys going this weekend?",12
10043,not really in the twitter mood today... i don't know what to do,10
10044,"@Knownhuman damn - that's sad, then... I haven't heard the new one yet. Sounds like I've been spared a tragedy.",10
10045,i had a dream that i was going to my graduation &amp; i started crying...then i went home to take a nap &amp; missed it...then a bee stung me...,11
10046,@bobbyshirley Anything is accepted except Christianity. Google the discussion thread &quot;sexuality and religion&quot; and SLED for Second Life.,8
10047,@ColinBach Sorry dude couldn't make BBQ only just back from hospital,12
10048,My stomach is trying to eat itself. Is it time for lunch yet? *looks at clock* Damn... another hour 20 'til lunch.,7
10049,"i wanna see 'up' tonight, but no one will go with me. whhhyyy",10
10050,Just received my Leeds 10K bib and timing chip - but my hip injury means I won't be breaking any 10K PB this time around,5
10051,Went to the vending maching to get Bugles. No Bugles  Perhaps it is a sign that I don't need the snack anyway.,11
10052,Evaluating my people...Dont like this part of the job,10
10053,does anyone know where I can watch the prison break tv movie? It's not on itunes,10
10054,@mrs_aaberg it certainly was their fault that I had to crawl all over the woods today but I'm afraid it would have broken at home too,12
10055,@arischenck Headed back to Baltimore tonight,8
10056,@Intelligentle This was at Pitman's down South. It just looks like business is bad all over,12
10057,@BonesCrazy24 I've had the week off too...but I have Biology  exams to revise for so my Bones time is limited,10
10058,"@jerseymoongirl - I'm hoping these pills will do something, cuz I'm gonna go nuts",12
10059,"@Xantiriad the music in the trailer was terrible imo, cheesy handbag house. I was expecting some dnb or hard house",6
10060,IN $RF @3.94 - target $5.30.  OUT $DNDN @$21.85 near days low,1
10061,Edge left me off the contributors list in this month's issue.  x FFS. &lt;- Werd,10
10062,no phone call yet.. 20 minutes until I pluck up the courage. I WISH MY PHONE WOULD RING,12
10063,In denial about the moving van parked a few blocks away.,10
10064,Last day in maui,10
10065,"So much work, so little time",12
10066,I need to burp ....  Im so nauseas....,8
10067,@THE_WOCKEEZ I wanna go! But I won't be there  I'm sure that the show will be great!!,3
10068,"@tandmark well at least they have good taste in art,cabinet appts.not so much",8
10069,@countrygirls86 dude i tried!! it wouldn't load!,12
10070,@willisface you know you want to come keep me company whilst mum's at her friends for the night  it's such a nice evening!,8
10071,@tapulous where's the UK love?!,10
10072,I feel really bad for female racoons with abusive racoon husbands... when you always have black eyes- no one can help,12
10073,"A laodicean life for Kavya &amp; family probably got Kavya her spelling bee crown! Congrats! Note, spell check doesnt recognize laodicean",7
10074,@1jaredPADALECKI 5 seasons that's it? Sorry just noticed in ur previous update. My sis isn't gonna be happy,10
10075,@vcha you should say mlia instead of fml  i hope you find it soon,8
10076,oh how I miss my truck... I could have my whole place moved by now...,10
10077,is in mourning that he is having to miss the homesssssskooooler fair today!!!,10
10078,@mechellelewis Are you shattered after that long week?  Thats a pity about tomorrow night,12
10079,@EmmDeeCee no he wasn't there today,8
10080,Laundry time and LOTS of it!,10
10081,@KimmyGotSoul aw damn. ok i got you for tuesday on that. i gotta write a short post for today tho,12
10082,Got word from USAA that the minivan is totalled.  Now we need a high valuation for something to buy a new car with.,11
10083,"having a great time on vacation, sure as heck don't want to go to work on tues.",5
10084,@princeofcode Sorry we couldn't get the project working with the windoze laptop  but a ton of folks came up afterwards and saw it running,10
10085,Still white despite being out for ages in the sun,10
10086,@lilyroseallen no one ever wear a tshirt with me on it  you're very lucky,8
10087,I feel like I'm going to toss my cookies,10
10088,"@poppy_dog Lucky you! it's drizzling again. Mommy says the puddles are big enough 4 me to swim in, so no dog park today..",4
10089,@mr_uppercut that was such an 'old man' thing to say,4
10090,Off to Nanaimo 2day... missing my son already and i havent even left yet,10
10091,is taking mommy to the airport.,12
10092,@alivelshi what a society we live in,12
10093,"Ha, @joestump i'm giving spymaster a chance - just curious! will miss u",8
10094,ah seriously i dont even work with children some how i am still sick!  groundhog friday just got worse.,12
10095,Bad day at the office. In a horrendous mood  Was it national 'Act like an idiotic buffoon' day today and no-one bothered to tell me?!!,10
10096,"@SometimesITweet, totally worth it!! great movie cool 3D glasses! i miss ya! and i miss @jesicawesley  and i miss new york too",7
10097,@Mauityler87 u don't love me  no follow..how was your night? ;-),12
10098,Funerals are no bueno,6
10099,SHIT I lost my Star Trek ring!    Starfleet Academy class ring w/ Golden Gate Bridge on it.  Got it as high school graduation present.,10
10100,@tessonfire I feel almost empty inside today.  Not a good feeling.,10
10101,@TheMrsNikkiSixx  We'll miss you  #Sixx?,12
10102,Hmmm...strained my back  Hope it's better tomorrow morning..,8
10103,@squaccs I may be telling myself that cos he never replies to me,11
